Name,Position,Company,City
Richard Larsen Bowers CFA,0,0,"LAYTON, UTAH, USA"
Kevin Allen Butterfield CIPM,0,0,"SOUTH JORDAN, UTAH, USA"
Matthew Kenneth Cross CFA,0,0,"PARK CITY, UTAH, USA"
Clint Jordan Davis CFA,0,0,"HERRIMAN, UTAH, USA"
Mckay Dunn CFA,0,0,"DRAPER, UTAH, USA"
Kevin Howard Greer CFA,0,0,"DRAPER, UTAH, USA"
John Jagerson CFA,0,0,"OREM, UTAH, USA"
Y. Michelle Kim CFA,0,0,"FARMINGTON, UTAH, USA"
David Howard Lund CFA,0,0,"SOUTH JORDAN, UTAH, USA"
R. Mark Matheson CFA,0,0,"SOUTH JORDAN, UTAH, USA"
Richard Larsen Bowers CFA,0,0,"LAYTON, UTAH, USA"
Kevin Allen Butterfield CIPM,0,0,"SOUTH JORDAN, UTAH, USA"
Matthew Kenneth Cross CFA,0,0,"PARK CITY, UTAH, USA"
Clint Jordan Davis CFA,0,0,"HERRIMAN, UTAH, USA"
Mckay Dunn CFA,0,0,"DRAPER, UTAH, USA"
Kevin Howard Greer CFA,0,0,"DRAPER, UTAH, USA"
John Jagerson CFA,0,0,"OREM, UTAH, USA"
Y. Michelle Kim CFA,0,0,"FARMINGTON, UTAH, USA"
David Howard Lund CFA,0,0,"SOUTH JORDAN, UTAH, USA"
R. Mark Matheson CFA,0,0,"SOUTH JORDAN, UTAH, USA"
Eric Raymond McFarland CFA,0,0,"DRAPER, UTAH, USA"
John H. Mullen IV CFA,0,0,"WASHINGTON, UTAH, USA"
Brett Nelson CFA,0,0,"PROVIDENCE, UTAH, USA"
Taylor Eric Nelson CFA,0,0,"CEDAR HILLS, UTAH, USA"
Stephen A. Simmons CFA,0,0,"LOGAN, UTAH, USA"
Peter Skalla CFA,0,0,"HIGHLAND, UTAH, USA"
Gregory L. Adams CFA,0,0,"PROVO, UTAH, USA"
Bryan D Cannon CFA,0,0,"PARK CITY, UTAH, USA"
Mark M Delfanti CFA,0,0,"MIDVALE, UTAH, USA"
Jeffrey M. Gumeson CFA,0,0,"PARK CITY, UTAH, USA"
ILIYA KRUTKO CFA,0,0,"TOOELE, UTAH, USA"
Michael J. Miller CFA,0,0,"HOLLADAY, UTAH, USA"
Jason Kenneth Morrow CFA,0,0,"SOUTH JORDAN, UTAH, USA"
Jon Aaron Paulsen CFA,0,0,"FARMINGTON, UTAH, USA"
Mark L. Preslar CFA,0,0,"MORGAN, UTAH, USA"
Peter Proos CFA,0,0,"DRAPER, UTAH, USA"
Brandon Craig Russell CFA,0,0,"LAYTON, UTAH, USA"
Dustin Thomas Snyder CFA,0,0,"HEBER CITY, UTAH, USA"
Douglas Walter Van Woerkom CFA,0,0,"HIGHLAND, UTAH, USA"
Jason Adam White CFA,0,0,"PROVO, UTAH, USA"
Richard C. Brusky CFA,0,0,"PARK CITY, UTAH, USA"
Brian A. Bythrow CFA,0,0,"PARK CITY, UTAH, USA"
Barry W. Dennis CFA,0,0,"PARK CITY, UTAH, USA"
Michael Esselman CFA,0,0,"DRAPER, UTAH, USA"
Joel Dylan Inman CFA,0,0,"PARK CITY, UTAH, USA"
David J. Leffel CFA,0,0,"PARK CITY, UTAH, USA"
Shauna D. Lupcho CFA,0,0,"PARK CITY, UTAH, USA"
Brian McCallion CFA,0,0,"PARK CITY, UTAH, USA"
Eric Q. Stats CFA,0,0,"KAYSVILLE, UTAH, USA"
Adam Justin Weil CFA,0,0,"DRAPER, UTAH, USA"
Darius Richard Wilsey CFA,0,0,"PARK CITY, UTAH, USA"
Harrison Ammon CFA,0,0,"MILLCREEK, UTAH, USA"
